Entry Time,Exit Time,Entry Price,Exit Price,Reason,PnL (pts),PnL (₹)
2025-04-02 09:15:00+05:30,2025-04-02 09:30:00+05:30,51175.15,51220.15,SL,-45.0,-1125.0
2025-04-02 09:45:00+05:30,2025-04-02 10:00:00+05:30,51380.0,51304.0,TP,76.0,1900.0
2025-04-02 11:15:00+05:30,2025-04-02 11:30:00+05:30,51432.35,51477.35,SL,-45.0,-1125.0
2025-04-03 12:45:00+05:30,2025-04-03 13:00:00+05:30,51630.0,51675.0,SL,-45.0,-1125.0
2025-04-07 11:45:00+05:30,2025-04-07 12:00:00+05:30,49825.05,49749.05,TP,76.0,1900.0
2025-04-09 09:30:00+05:30,2025-04-09 09:45:00+05:30,50500.0,50545.0,SL,-45.0,-1125.0
2025-04-09 10:30:00+05:30,2025-04-09 10:45:00+05:30,50361.6,50285.6,TP,76.0,1900.0
2025-04-09 11:00:00+05:30,2025-04-09 11:15:00+05:30,50231.3,50155.3,TP,76.0,1900.0
2025-04-16 12:15:00+05:30,2025-04-16 12:30:00+05:30,52725.0,52770.0,SL,-45.0,-1125.0
2025-04-22 09:15:00+05:30,2025-04-22 09:30:00+05:30,55270.2,55315.2,SL,-45.0,-1125.0
2025-04-23 12:00:00+05:30,2025-04-23 12:15:00+05:30,55330.0,55254.0,TP,76.0,1900.0
2025-04-24 10:30:00+05:30,2025-04-24 11:15:00+05:30,55406.6,55330.6,TP,76.0,1900.0
2025-04-29 11:15:00+05:30,2025-04-29 11:30:00+05:30,55600.8,55524.8,TP,76.0,1900.0
2025-04-30 10:00:00+05:30,2025-04-30 10:15:00+05:30,55444.0,55368.0,TP,76.0,1900.0
2025-04-30 12:15:00+05:30,2025-04-30 12:30:00+05:30,55270.4,55315.4,SL,-45.0,-1125.0
