,0
Total Trades,7.0
Winning Trades,1.0
Losing Trades,6.0
Win Rate (%),14.29
Average Win (₹),2777.5
Average Loss (₹),-1358.75
Net Profit (₹),-5375.0
Net Points,-107.5
Profit Factor,0.34
