,0
Total Trades,6.0
Winning Trades,2.0
Losing Trades,4.0
Win Rate (%),33.33
Average Win (₹),4162.5
Average Loss (₹),-2282.5
Net Profit (₹),-805.0
Net Points,-32.2
Profit Factor,0.91
