,0
Total Trades,10.0
Winning Trades,5.0
Losing Trades,5.0
Win Rate (%),50.0
Average Win (₹),5467.65
Average Loss (₹),-8949.6
Net Profit (₹),-17409.75
Net Points,-232.13
Profit Factor,0.61
