Date,Leg,Entry Time,Exit Time,strike_price,Entry,Exit,Reason,NetPoints,PnL
2025-04-25,Long1,2025-04-25 09:20:00,2025-04-25 09:20:00,24350,903.7,868.7,SL,-35.0,-1750.0
2025-04-25,Long2,2025-04-25 09:20:00,2025-04-25 10:00:00,24350,903.7,959.25,TRL,55.549999999999955,2777.4999999999977
2025-04-28,Short,2025-04-28 09:20:00,2025-04-28 09:20:00,24350,874.5,904.5,SL,-30.0,-1500.0
2025-04-29,Long1,2025-04-29 09:20:00,2025-04-29 09:20:00,24350,897.9,862.9,SL,-35.0,-1750.0
2025-04-29,Long2,2025-04-29 09:20:00,2025-04-29 15:20:00,24350,897.9,878.9,EOD,-19.0,-950.0
2025-04-30,Long1,2025-04-30 09:25:00,2025-04-30 09:25:00,24200,931.3,896.3,SL,-35.0,-1750.0
2025-04-30,Long2,2025-04-30 09:25:00,2025-04-30 14:50:00,24200,931.3,922.25,TRL,-9.049999999999955,-452.4999999999977
