Date,Leg,Entry,Exit,NetPoints,PnL
2025-04-25,Short,2187.8,2307.8,-120.0,-3000.0
2025-04-28,Long1,2271.5,2471.5,200.0,5000.0
2025-04-28,Long2,2271.5,2404.5,133.0,3325.0
2025-04-29,Long1,2295.15,2145.15,-150.0,-3750.0
2025-04-29,Long2,2295.15,2216.65,-78.5,-1962.5
2025-04-30,Short,2243.5,2260.2,-16.699999999999818,-417.49999999999545
