,0
Total Trades,4.0
Winning Trades,1.0
Losing Trades,3.0
Win Rate (%),25.0
Average Win (₹),2700.0
Average Loss (₹),-2128.5
Net Profit (₹),-3685.5
Net Points,-122.85
Profit Factor,0.42
