,0
Total Trades,2.0
Winning Trades,2.0
Losing Trades,0.0
Win Rate (%),100.0
Average Win (₹),9324.38
Average Loss (₹),0.0
Net Profit (₹),18648.75
Net Points,248.65
Profit Factor,0.0
