,0
Total Trades,6.0
Winning Trades,3.0
Losing Trades,3.0
Win Rate (%),50.0
Average Win (₹),2142.5
Average Loss (₹),-3580.0
Net Profit (₹),-4312.5
Net Points,-57.5
Profit Factor,0.6
