,0
Total Trades,1.0
Winning Trades,0.0
Losing Trades,1.0
Win Rate (%),0.0
Average Win (₹),0.0
Average Loss (₹),-4500.0
Net Profit (₹),-4500.0
Net Points,-60.0
Profit Factor,0.0
